epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3163,1.21939,2.63238,1.6594,0.31481,0.54772,0.41671,0.19148,1.72717,2.65838,2.55087,0.000205078,0.000205078,0.000205078
2,84.9392,1.29006,1.9622,1.64181,0.23301,0.35002,0.28972,0.14579,1.63282,2.71264,2.39031,0.000405226,0.000405226,0.000405226
3,126.062,1.29203,1.95695,1.63731,0.2792,0.35087,0.19787,0.09672,1.83534,5.52397,2.71688,0.000597124,0.000597124,0.000597124
4,167.793,1.32606,1.89845,1.65907,0.37779,0.54708,0.44945,0.22975,1.64038,2.30469,2.47533,0.000587875,0.000587875,0.000587875
5,212.875,1.27911,1.82513,1.62522,0.43559,0.33182,0.33584,0.17339,1.796,2.79035,2.56072,0.0005755,0.0005755,0.0005755
6,254.088,1.2936,1.77557,1.64049,0.37965,0.54798,0.45064,0.22334,1.64113,2.16379,2.4177,0.000563125,0.000563125,0.000563125
7,295.811,1.24871,1.6658,1.59062,0.55538,0.42573,0.42973,0.23091,1.81422,2.29621,2.49509,0.00055075,0.00055075,0.00055075
8,337.352,1.23259,1.62706,1.599,0.44935,0.56982,0.52817,0.29128,1.598,1.90099,2.30265,0.000538375,0.000538375,0.000538375
9,385.798,1.20828,1.56262,1.5631,0.6241,0.66339,0.67392,0.37835,1.50039,1.54215,2.15919,0.000526,0.000526,0.000526
10,432.411,1.18721,1.50976,1.55371,0.4588,0.58883,0.56324,0.30931,1.59257,1.7128,2.34709,0.000513625,0.000513625,0.000513625
11,474.447,1.17313,1.41435,1.54274,0.60101,0.60422,0.64924,0.37814,1.47185,1.66029,2.13719,0.00050125,0.00050125,0.00050125
12,516.406,1.17713,1.43416,1.52645,0.6312,0.60768,0.65922,0.3708,1.49463,1.45626,2.14492,0.000488875,0.000488875,0.000488875
13,557.849,1.13725,1.41042,1.50325,0.70999,0.65483,0.75895,0.43986,1.4013,1.31341,2.06353,0.0004765,0.0004765,0.0004765
14,599.625,1.12983,1.3055,1.50893,0.67125,0.71253,0.73984,0.43233,1.43554,1.24563,2.06253,0.000464125,0.000464125,0.000464125
15,641.576,1.10352,1.2918,1.48117,0.72096,0.69847,0.75662,0.46196,1.40054,1.20974,2.02037,0.00045175,0.00045175,0.00045175
16,688.934,1.10628,1.28107,1.48098,0.70137,0.68912,0.79021,0.47929,1.35425,1.23839,2.01166,0.000439375,0.000439375,0.000439375
17,735.339,1.09666,1.25959,1.47908,0.60686,0.715,0.72775,0.41168,1.51202,1.3755,2.11413,0.000427,0.000427,0.000427
18,777.161,1.07184,1.16154,1.44154,0.74868,0.77105,0.81086,0.48217,1.50806,1.07608,2.10501,0.000414625,0.000414625,0.000414625
19,824.137,1.04895,1.13063,1.44207,0.76132,0.75603,0.82134,0.51111,1.35009,1.05064,1.94487,0.00040225,0.00040225,0.00040225
20,871.217,1.02685,1.13088,1.42516,0.71853,0.75083,0.78363,0.47983,1.39286,1.13797,2.05802,0.000389875,0.000389875,0.000389875
21,913.036,1.03853,1.08584,1.4176,0.70548,0.7605,0.78982,0.48547,1.39513,1.16948,2.05604,0.0003775,0.0003775,0.0003775
22,954.567,1.00941,1.04597,1.39311,0.74997,0.79644,0.83661,0.51226,1.34267,1.00824,1.96915,0.000365125,0.000365125,0.000365125
23,1002.45,1.01778,1.04711,1.41687,0.84935,0.73877,0.84351,0.55014,1.32554,0.97097,1.94344,0.00035275,0.00035275,0.00035275
24,1049.26,1.00709,1.02224,1.39117,0.7447,0.77406,0.81888,0.48398,1.38928,1.07276,1.96634,0.000340375,0.000340375,0.000340375
25,1090.67,0.98566,1.00224,1.38993,0.75143,0.76531,0.8276,0.51443,1.35394,1.07155,2.01798,0.000328,0.000328,0.000328
26,1132.62,0.94602,0.93362,1.3512,0.74694,0.7877,0.8365,0.5376,1.36153,1.01047,2.01724,0.000315625,0.000315625,0.000315625
27,1174.32,0.96526,0.93434,1.36808,0.78664,0.77027,0.8465,0.5425,1.33602,0.95054,1.95471,0.00030325,0.00030325,0.00030325
28,1215.44,0.9521,0.90578,1.35864,0.81783,0.85379,0.89112,0.56676,1.30464,0.83176,1.94702,0.000290875,0.000290875,0.000290875
29,1262.66,0.93582,0.86216,1.32953,0.80629,0.83192,0.86652,0.55046,1.345,0.87217,1.99208,0.0002785,0.0002785,0.0002785
30,1304.11,0.92405,0.86346,1.33839,0.86333,0.82799,0.88,0.56009,1.34085,0.84864,2.0028,0.000266125,0.000266125,0.000266125
31,1345.17,0.8985,0.81952,1.31469,0.80925,0.83918,0.87074,0.55316,1.32516,0.87018,1.96351,0.00025375,0.00025375,0.00025375
32,1386.61,0.90797,0.81397,1.31845,0.84676,0.85053,0.87756,0.55926,1.31429,0.80194,1.96463,0.000241375,0.000241375,0.000241375
33,1428.45,0.89342,0.76685,1.31202,0.84821,0.82355,0.8743,0.55516,1.32975,0.79991,1.92608,0.000229,0.000229,0.000229
34,1470.32,0.89308,0.76715,1.31413,0.80927,0.83609,0.87905,0.56454,1.33556,0.83053,1.94964,0.000216625,0.000216625,0.000216625
35,1511.32,0.85772,0.74738,1.29098,0.81507,0.84461,0.86727,0.5755,1.31878,0.80911,1.94116,0.00020425,0.00020425,0.00020425
36,1552.99,0.84806,0.72739,1.2796,0.81563,0.82345,0.8589,0.54826,1.32701,0.8306,1.95395,0.000191875,0.000191875,0.000191875
37,1594.17,0.83955,0.72443,1.27694,0.84688,0.84277,0.88256,0.5636,1.29971,0.82298,1.92789,0.0001795,0.0001795,0.0001795
38,1635.86,0.82389,0.6979,1.27727,0.83673,0.83222,0.88401,0.58259,1.28747,0.80473,1.91803,0.000167125,0.000167125,0.000167125
39,1682.15,0.7918,0.67738,1.24133,0.8686,0.84644,0.90244,0.58747,1.29672,0.73203,1.9336,0.00015475,0.00015475,0.00015475
40,1729.17,0.79909,0.69838,1.25828,0.83213,0.86706,0.90545,0.59813,1.28714,0.73723,1.93238,0.000142375,0.000142375,0.000142375
41,1773.36,0.70117,0.51676,1.27596,0.84711,0.8665,0.90159,0.60341,1.28068,0.73339,1.94938,0.00013,0.00013,0.00013
42,1815.04,0.69369,0.47779,1.28271,0.84759,0.83156,0.88491,0.58433,1.28684,0.78408,1.9736,0.000117625,0.000117625,0.000117625
