epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4741,1.14444,3.56595,1.58484,0.00821,0.93573,0.17732,0.08805,1.29111,3.13715,1.97703,0.000205078,0.000205078,0.000205078
2,47.4655,1.21055,2.67691,1.59256,0.34608,0.43955,0.3502,0.18182,1.41765,2.31908,2.24793,0.000405226,0.000405226,0.000405226
3,68.0669,1.19786,2.35625,1.58345,0.30626,0.50147,0.37541,0.19265,1.42333,2.48017,2.27732,0.000597124,0.000597124,0.000597124
4,89.8537,1.19581,2.19063,1.58982,0.58904,0.50389,0.52769,0.28953,1.44892,2.04739,2.1745,0.000587875,0.000587875,0.000587875
5,111.494,1.14819,2.08872,1.54396,0.49304,0.5613,0.5313,0.28233,1.43966,1.97161,2.23263,0.0005755,0.0005755,0.0005755
6,132.103,1.17044,1.95075,1.55108,0.52689,0.61009,0.56311,0.31163,1.42974,1.90081,2.1551,0.000563125,0.000563125,0.000563125
7,153.832,1.15613,1.87302,1.51903,0.52554,0.65308,0.64994,0.36939,1.44575,1.71588,2.15364,0.00055075,0.00055075,0.00055075
8,175.229,1.11703,1.78983,1.52145,0.54907,0.52606,0.58139,0.32684,1.38901,1.92288,2.05437,0.000538375,0.000538375,0.000538375
9,195.849,1.10719,1.67688,1.4799,0.6116,0.62424,0.66089,0.38269,1.4074,1.58989,2.05042,0.000526,0.000526,0.000526
10,217.297,1.09764,1.69205,1.47878,0.69433,0.61832,0.68045,0.3816,1.41287,1.65697,2.07602,0.000513625,0.000513625,0.000513625
11,237.556,1.07501,1.60953,1.46561,0.69071,0.74856,0.73982,0.42714,1.43989,1.43392,2.08458,0.00050125,0.00050125,0.00050125
12,258.676,1.08104,1.57379,1.44931,0.68463,0.65128,0.72104,0.42446,1.3844,1.49537,2.04388,0.000488875,0.000488875,0.000488875
13,279.994,1.06659,1.51237,1.4416,0.60011,0.64376,0.69081,0.41259,1.38807,1.65679,2.04679,0.0004765,0.0004765,0.0004765
14,300.352,1.05657,1.45734,1.44354,0.72509,0.76149,0.79404,0.48222,1.36957,1.31721,1.99016,0.000464125,0.000464125,0.000464125
15,321.589,1.02412,1.39877,1.40745,0.71962,0.7816,0.79113,0.4829,1.34698,1.25963,1.95499,0.00045175,0.00045175,0.00045175
16,342.159,1.03576,1.37554,1.41509,0.68641,0.77868,0.81085,0.48065,1.41286,1.39908,2.07826,0.000439375,0.000439375,0.000439375
17,363.706,1.00922,1.32893,1.41325,0.74472,0.74891,0.81157,0.48823,1.38584,1.29667,2.00985,0.000427,0.000427,0.000427
18,384.759,0.99534,1.28564,1.37784,0.73018,0.76263,0.79664,0.48431,1.38708,1.2892,1.99471,0.000414625,0.000414625,0.000414625
19,405.085,0.98831,1.23281,1.38383,0.77903,0.79627,0.82548,0.50629,1.33595,1.18033,1.91804,0.00040225,0.00040225,0.00040225
20,426.447,0.97334,1.20173,1.36818,0.80358,0.77363,0.82687,0.51184,1.37271,1.1839,2.01575,0.000389875,0.000389875,0.000389875
21,446.579,0.97415,1.15005,1.34877,0.79018,0.79631,0.84642,0.52832,1.36264,1.13909,1.9588,0.0003775,0.0003775,0.0003775
22,467.531,0.95613,1.14371,1.3394,0.80646,0.79052,0.85995,0.53357,1.32837,1.07196,1.93637,0.000365125,0.000365125,0.000365125
23,488.501,0.97174,1.16178,1.36592,0.79587,0.77881,0.84448,0.534,1.33343,1.05374,1.93648,0.00035275,0.00035275,0.00035275
24,508.866,0.95926,1.14125,1.34424,0.81562,0.7857,0.83167,0.50562,1.36749,1.05611,1.98874,0.000340375,0.000340375,0.000340375
25,530.165,0.9541,1.09495,1.35424,0.8133,0.84439,0.88362,0.53287,1.36975,1.03431,1.99337,0.000328,0.000328,0.000328
26,550.14,0.90739,1.04432,1.32396,0.83792,0.78799,0.87089,0.55762,1.32346,1.01338,1.9861,0.000315625,0.000315625,0.000315625
27,571.376,0.91975,1.04569,1.32553,0.77158,0.81285,0.8481,0.53284,1.34813,1.07411,1.97879,0.00030325,0.00030325,0.00030325
28,592.889,0.90891,1.01442,1.31403,0.77929,0.78966,0.85186,0.52784,1.3468,1.08691,1.97386,0.000290875,0.000290875,0.000290875
29,613.039,0.89948,0.98459,1.29726,0.87372,0.79831,0.88426,0.55714,1.3177,0.9586,1.93262,0.0002785,0.0002785,0.0002785
30,634.405,0.89627,0.96461,1.30395,0.84764,0.80316,0.85875,0.53838,1.34239,0.97702,1.99655,0.000266125,0.000266125,0.000266125
