epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1177,1.26607,3.36889,1.65801,0.44038,0.59163,0.49042,0.27836,1.43736,2.57626,2.1547,0.000205078,0.000205078,0.000205078
2,49.9725,1.21678,1.97347,1.54322,0.48757,0.48479,0.5172,0.29584,1.40269,2.07221,2.1443,0.000405226,0.000405226,0.000405226
3,73.8531,1.21399,1.72885,1.53885,0.46832,0.44436,0.4216,0.21014,1.688,2.11293,2.39422,0.000597124,0.000597124,0.000597124
4,97.6104,1.21396,1.63099,1.54746,0.39298,0.52435,0.40999,0.16709,1.86011,2.2383,2.41606,0.000587875,0.000587875,0.000587875
5,121.105,1.17131,1.57083,1.51738,0.50439,0.52983,0.52568,0.26021,1.69604,1.81158,2.61588,0.0005755,0.0005755,0.0005755
6,144.662,1.20836,1.55645,1.54011,0.48458,0.6259,0.59035,0.3118,1.59767,1.68534,2.24511,0.000563125,0.000563125,0.000563125
7,168.531,1.18037,1.47597,1.51305,0.61236,0.64171,0.68703,0.39483,1.49467,1.48296,2.17791,0.00055075,0.00055075,0.00055075
8,192.579,1.16622,1.40025,1.52223,0.64142,0.68447,0.71453,0.39284,1.58214,1.38131,2.23043,0.000538375,0.000538375,0.000538375
9,216.691,1.11995,1.31716,1.48184,0.64327,0.64941,0.70002,0.40504,1.46857,1.57094,2.12421,0.000526,0.000526,0.000526
10,240.942,1.11814,1.35323,1.47806,0.6084,0.60216,0.65642,0.36481,1.54006,1.6159,2.21934,0.000513625,0.000513625,0.000513625
11,264.431,1.10605,1.25738,1.46887,0.67639,0.72293,0.73161,0.43002,1.44204,1.24496,2.07532,0.00050125,0.00050125,0.00050125
12,287.97,1.11093,1.2451,1.46191,0.65804,0.71109,0.73244,0.43083,1.48313,1.27418,2.11783,0.000488875,0.000488875,0.000488875
13,311.833,1.07085,1.22708,1.43868,0.70072,0.55901,0.68634,0.39607,1.42087,1.56344,2.05714,0.0004765,0.0004765,0.0004765
14,335.955,1.05683,1.16068,1.42928,0.64893,0.72099,0.73043,0.41852,1.49027,1.2867,2.13583,0.000464125,0.000464125,0.000464125
15,359.944,1.04008,1.13005,1.40863,0.73507,0.77887,0.80456,0.47816,1.43632,1.07371,2.10187,0.00045175,0.00045175,0.00045175
16,384.184,1.05089,1.09492,1.41475,0.7539,0.72902,0.80904,0.47699,1.42798,1.09912,2.10551,0.000439375,0.000439375,0.000439375
17,407.5,1.03071,1.06682,1.42066,0.63092,0.74532,0.7322,0.43162,1.51763,1.22769,2.11941,0.000427,0.000427,0.000427
18,431.126,1.01203,1.02768,1.38442,0.81201,0.79102,0.84148,0.52564,1.40052,0.97757,1.9955,0.000414625,0.000414625,0.000414625
19,455.216,0.98263,0.96676,1.37118,0.79577,0.81525,0.86608,0.54911,1.32438,0.94481,1.91505,0.00040225,0.00040225,0.00040225
20,479.264,0.97967,0.9705,1.36584,0.72842,0.82686,0.81886,0.5011,1.38467,0.99789,2.06342,0.000389875,0.000389875,0.000389875
21,503.472,0.98454,0.94828,1.35491,0.81031,0.78623,0.8342,0.52928,1.37246,0.95523,2.0127,0.0003775,0.0003775,0.0003775
22,527.361,0.95293,0.91851,1.33581,0.77392,0.80151,0.83416,0.53024,1.3656,0.97136,1.98824,0.000365125,0.000365125,0.000365125
23,550.735,0.96687,0.91702,1.36075,0.79738,0.77716,0.84843,0.53961,1.35161,0.98131,1.9638,0.00035275,0.00035275,0.00035275
24,574.381,0.93733,0.8945,1.32153,0.74624,0.76916,0.81251,0.49642,1.41414,1.00941,2.00791,0.000340375,0.000340375,0.000340375
25,597.766,0.93219,0.87002,1.33753,0.79589,0.81511,0.84599,0.54243,1.32732,0.89879,1.93997,0.000328,0.000328,0.000328
